类目,类目链接,型号,描述
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,ThinkPad T470系列 酷睿7代处理器，性能级独立显卡，720p HD摄像头，指纹识别,酷睿7代处理器，性能级独立显卡，720p HD摄像头，指纹识别
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,苹果 新款Macbook Pro 15英寸系列 超长续航，3K高清Retina屏，Multi-Touch Bar触控条，双显卡,超长续航，3K高清Retina屏，Multi-Touch Bar触控条，双显卡
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,惠普 战66 Pro G1系列 酷睿8代处理器，MX150显卡，全尺寸键盘，指纹识别,酷睿8代处理器，MX150显卡，全尺寸键盘，指纹识别
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,苹果 MacBook Pro 13.3英寸（Broadwell）系列 绚丽视网膜屏，Force Touch触控板，长效续航，环境光传感器,绚丽视网膜屏，Force Touch触控板，长效续航，环境光传感器
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,ThinkPad E470系列 Think Cool散热，杜比音效，IPS广视角屏，全尺寸键盘,Think Cool散热，杜比音效，IPS广视角屏，全尺寸键盘
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,华硕 飞行堡垒FX50系列 玛雅图腾纹路，全高清大屏，酷凉散热技术，云端同步,玛雅图腾纹路，全高清大屏，酷凉散热技术，云端同步
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,戴尔 G7系列 酷睿8代处理器，发烧级显卡，蓝牙5.0，指纹识别,酷睿8代处理器，发烧级显卡，蓝牙5.0，指纹识别
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,戴尔 Inspiron 灵越 14 7000系列游匣7000（7447） 巧克力背光键盘，双显卡，类肤材质，动态平台散热系统,巧克力背光键盘，双显卡，类肤材质，动态平台散热系统
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,机械革命 深海幽灵Z2系列 轻盈纤薄，颜值窄边框，二代光轴机械键盘，酷睿8代处理器,轻盈纤薄，颜值窄边框，二代光轴机械键盘，酷睿8代处理器
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,ThinkPad E580系列 酷睿8代处理器，全尺寸键盘，AMD显卡，180°翻转,酷睿8代处理器，全尺寸键盘，AMD显卡，180°翻转
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,Alienware 18系列 TrueLife显示屏，AlienAdrenaline游戏应用，双显卡，4区多色RGB键盘,TrueLife显示屏，AlienAdrenaline游戏应用，双显卡，4区多色RGB键盘
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,小米 笔记本Air（13.3英寸）系列 无边式7H硬度玻璃屏，AKG扬声器，手环解锁，高性能显卡,无边式7H硬度玻璃屏，AKG扬声器，手环解锁，高性能显卡
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,微软 Surface Pro 3系列 专业级触控笔，2K高清IPS屏幕，多模式一体支架，双摄像头,专业级触控笔，2K高清IPS屏幕，多模式一体支架，双摄像头
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,戴尔 XPS 13系列（9360） 酷睿7代处理器，微边框，超长续航，金属轻薄机身,酷睿7代处理器，微边框，超长续航，金属轻薄机身
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,微软 Surface Book系列 金属轻薄机身，PixelSense触控屏，超长续航，面部识别,金属轻薄机身，PixelSense触控屏，超长续航，面部识别
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,ThinkPad X1 Carbon 2018系列 背光键盘，180°翻转，核心显卡，指纹识别,背光键盘，180°翻转，核心显卡，指纹识别
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,HUAWEI MateBook X系列 超静音，指纹识别，2K级显示屏，轻薄金属机身,超静音，指纹识别，2K级显示屏，轻薄金属机身
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,ThinkPad T480系列 酷睿8代处理器，指纹识别，巧克力键盘，长效续航,酷睿8代处理器，指纹识别，巧克力键盘，长效续航
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,联想 Ideapad 320-15系列 酷睿7代处理器，浮岛式键盘，超长续航，AMD系列显卡,酷睿7代处理器，浮岛式键盘，超长续航，AMD系列显卡
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,联想 小新Air 14系列 酷睿8代处理器，MX150显卡，背光键盘，轻薄微边框,酷睿8代处理器，MX150显卡，背光键盘，轻薄微边框
超极本,http://detail.zol.com.cn/ultrabook/,联想 YOGA 3 Pro系列 3K超高清触控屏，360翻转，Harmony智能模块，WAVES AUDIO认证,3K超高清触控屏，360翻转，Harmony智能模块，WAVES AUDIO认证
超极本,http://detail.zol.com.cn/ultrabook/,微软 Surface Laptop系列 酷睿7代处理器，PixelSense触控屏，核心显卡，玻璃触控板,酷睿7代处理器，PixelSense触控屏，核心显卡，玻璃触控板
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad X270系列 酷睿7代处理器，指纹识别功能，双电池，背光键盘,酷睿7代处理器，指纹识别功能，双电池，背光键盘
超极本,http://detail.zol.com.cn/ultrabook/,华硕 U4000UQ系列 Eye Care模式，Splendid靓彩技术，高性能显卡，美声大师音效技术,Eye Care模式，Splendid靓彩技术，高性能显卡，美声大师音效技术
超极本,http://detail.zol.com.cn/ultrabook/,戴尔 XPS 13系列（9360） 酷睿7代处理器，微边框，超长续航，金属轻薄机身,酷睿7代处理器，微边框，超长续航，金属轻薄机身
超极本,http://detail.zol.com.cn/ultrabook/,惠普 ENVY 13-AD100TU系列 酷睿8代处理器，轻薄金属机身，背光键盘，核心显卡,酷睿8代处理器，轻薄金属机身，背光键盘，核心显卡
超极本,http://detail.zol.com.cn/ultrabook/,联想 小新 潮7000系列 1小时充电80%，背光键盘，窄边框，双硬盘轻薄本,1小时充电80%，背光键盘，窄边框，双硬盘轻薄本
超极本,http://detail.zol.com.cn/ultrabook/,微软 Surface Pro 3系列 专业级触控笔，2K高清IPS屏幕，多模式一体支架，双摄像头,专业级触控笔，2K高清IPS屏幕，多模式一体支架，双摄像头
超极本,http://detail.zol.com.cn/ultrabook/,微软 Surface Book系列 金属轻薄机身，PixelSense触控屏，超长续航，面部识别,金属轻薄机身，PixelSense触控屏，超长续航，面部识别
超极本,http://detail.zol.com.cn/ultrabook/,微软 Surface Pro（新）系列 超长续航，隐藏摄像机，支架铰链，Surface触控笔,超长续航，隐藏摄像机，支架铰链，Surface触控笔
超极本,http://detail.zol.com.cn/ultrabook/,微软 Surface Book 2（13寸）系列 酷睿8代处理器，可拆卸键盘，触控屏，轻薄金属机身,酷睿8代处理器，可拆卸键盘，触控屏，轻薄金属机身
超极本,http://detail.zol.com.cn/ultrabook/,微软 Surface Pro 4系列 面部识别，PixelSense触控屏，双摄像头，专业级触控笔,面部识别，PixelSense触控屏，双摄像头，专业级触控笔
超极本,http://detail.zol.com.cn/ultrabook/,联想 小新 潮5000系列 轻薄便携，全尺寸键盘，酷睿7代处理器，AMD系列显卡,轻薄便携，全尺寸键盘，酷睿7代处理器，AMD系列显卡
超极本,http://detail.zol.com.cn/ultrabook/,HUAWEI MateBook系列 一键热点上网，2K高清IPS触控屏，极速侧面指纹，超静音,一键热点上网，2K高清IPS触控屏，极速侧面指纹，超静音
超极本,http://detail.zol.com.cn/ultrabook/,联想 小新Air 13 Pro系列 JBL保真音箱，金属轻薄机身，高性能显卡，指纹识别,JBL保真音箱，金属轻薄机身，高性能显卡，指纹识别
超极本,http://detail.zol.com.cn/ultrabook/,戴尔 XPS 13系列（9350） 时尚简约外观，高清微边框屏幕，128G极速固态硬盘，超长续航,时尚简约外观，高清微边框屏幕，128G极速固态硬盘，超长续航
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad New S2系列 轻薄金属机身，180度屏幕开合，极速硬盘，全高清IPS屏幕,轻薄金属机身，180度屏幕开合，极速硬盘，全高清IPS屏幕
超极本,http://detail.zol.com.cn/ultrabook/,联想 小新Air 12系列 超长续航，金属轻薄机身，超静音，100G云盘,超长续航，金属轻薄机身，超静音，100G云盘
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad X1 Carbon 4代 碳纤维材质，轻薄随身，长久续航，指纹识别,碳纤维材质，轻薄随身，长久续航，指纹识别
超极本,http://detail.zol.com.cn/ultrabook/,联想 IdeaPad 710S系列 金属轻薄机身，窄边框屏幕，双风扇散热，170°广视角屏,金属轻薄机身，窄边框屏幕，双风扇散热，170°广视角屏
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad X1 Yoga系列 360度翻转触控，杜比音效，指纹识别，核心显卡,360度翻转触控，杜比音效，指纹识别，核心显卡
超极本,http://detail.zol.com.cn/ultrabook/,联想 YOGA 710-14系列 高性能显卡，窄边框屏幕，360°翻转，超长续航,高性能显卡，窄边框屏幕，360°翻转，超长续航
超极本,http://detail.zol.com.cn/ultrabook/,华硕 TP200SA系列 赛扬双核处理器，核芯显卡，全尺寸键盘，360°翻转,赛扬双核处理器，核芯显卡，全尺寸键盘，360°翻转
超极本,http://detail.zol.com.cn/ultrabook/,惠普 ENVY 13-AD100TX系列 酷睿8代处理器，轻薄金属机身，背光键盘，MX150显卡,酷睿8代处理器，轻薄金属机身，背光键盘，MX150显卡
超极本,http://detail.zol.com.cn/ultrabook/,联想 YOGA Book系列 X5 Z8500，十点触控，IPS屏幕，核芯显卡,X5 Z8500，十点触控，IPS屏幕，核芯显卡
超极本,http://detail.zol.com.cn/ultrabook/,华硕 灵耀3 Pro系列 酷睿7代处理器，高性能显卡，指纹识别，背光键盘,酷睿7代处理器，高性能显卡，指纹识别，背光键盘
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad X1 Carbon 2017系列 酷睿7代处理器，720p摄像头，5毫米微边框，巧克力背光键盘,酷睿7代处理器，720p摄像头，5毫米微边框，巧克力背光键盘
超极本,http://detail.zol.com.cn/ultrabook/,联想 拯救者 Y520系列 双风扇+双铜管散热，红色背光键盘，GTX 10系显卡，IPS屏,双风扇+双铜管散热，红色背光键盘，GTX 10系显卡，IPS屏
超极本,http://detail.zol.com.cn/ultrabook/,联想 YOGA 5 Pro系列 表链式转轴设计，指纹识别，IPS广视角炫彩触控屏，JBL保真音箱,表链式转轴设计，指纹识别，IPS广视角炫彩触控屏，JBL保真音箱
超极本,http://detail.zol.com.cn/ultrabook/,华硕 灵耀360系列 指纹识别，360°翻转，快充超长续航，全尺寸背光键盘,指纹识别，360°翻转，快充超长续航，全尺寸背光键盘
超极本,http://detail.zol.com.cn/ultrabook/,联想 小新Air 13系列 窄边框金属机身，1080P高清IPS屏，可调节背光键盘，核心显卡,窄边框金属机身，1080P高清IPS屏，可调节背光键盘，核心显卡
超极本,http://detail.zol.com.cn/ultrabook/,联想 Miix 5系列 酷睿i3 6100U，支持十点触控，核芯显卡，二合一笔记本,酷睿i3 6100U，支持十点触控，核芯显卡，二合一笔记本
超极本,http://detail.zol.com.cn/ultrabook/,联想 Miix 5系列 酷睿i5 6200U，SSD固态硬盘，支持十点触控，核芯显卡，双摄像头,酷睿i5 6200U，SSD固态硬盘，支持十点触控，核芯显卡，双摄像头
超极本,http://detail.zol.com.cn/ultrabook/,联想 Miix 5系列 酷睿i7 6500U，十点触控，IPS屏幕，核芯显卡,酷睿i7 6500U，十点触控，IPS屏幕，核芯显卡
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad X1 Carbon（2015版）系列 酷睿i7 5500U/8GB/512GB SDD/2560x1440/Win10,酷睿i7 5500U/8GB/512GB SDD/2560x1440/Win10
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad X1 Carbon（2015版）系列 180度开合，长效续航，变色龙键盘,180度开合，长效续航，变色龙键盘
超极本,http://detail.zol.com.cn/ultrabook/,华硕 T3 Chi系列 12.5英寸2合一娱乐超极本，酷睿M双核处理器，支持蓝牙功能，可拆卸式键盘,12.5英寸2合一娱乐超极本，酷睿M双核处理器，支持蓝牙功能，可拆卸式键盘
超极本,http://detail.zol.com.cn/ultrabook/,华硕 灵耀3系列 Splendid靓彩技术，IPS广视角防炫目屏，美声大师音效技术，液晶聚合物散热风扇,Splendid靓彩技术，IPS广视角防炫目屏，美声大师音效技术，液晶聚合物散热风扇
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad X1 Carbon 2016系列 轻薄便携机身，六代酷睿i5双核，LPDDR3低功耗内存，杜比音效,轻薄便携机身，六代酷睿i5双核，LPDDR3低功耗内存，杜比音效
超极本,http://detail.zol.com.cn/ultrabook/,联想 YOGA 4 PRO系列 表链式转轴，3K触控屏，背光键盘，核心显卡,表链式转轴，3K触控屏，背光键盘，核心显卡
超极本,http://detail.zol.com.cn/ultrabook/,联想 YOGA 720-13IKB系列 酷睿7代处理器，触控屏幕，360°翻转，指纹识别,酷睿7代处理器，触控屏幕，360°翻转，指纹识别
超极本,http://detail.zol.com.cn/ultrabook/,戴尔 XPS 13 微边框（9365）系列 超静音，InfinityEdge显示屏，360°翻转，指纹识别,超静音，InfinityEdge显示屏，360°翻转，指纹识别
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad S5 Yoga系列 高清广视角IPS屏，JBL音响，背光键盘，支持触控,高清广视角IPS屏，JBL音响，背光键盘，支持触控
超极本,http://detail.zol.com.cn/ultrabook/,惠普 ENVY 13-D000系列 金属机身一体化，高速M2固态硬盘，丹麦B&O音响，分岛式键盘,金属机身一体化，高速M2固态硬盘，丹麦B&O音响，分岛式键盘
超极本,http://detail.zol.com.cn/ultrabook/,Razer Blade灵刃系列 酷睿7代处理器，200万像素摄像头，发烧级显卡，Chroma幻彩键盘,酷睿7代处理器，200万像素摄像头，发烧级显卡，Chroma幻彩键盘
超极本,http://detail.zol.com.cn/ultrabook/,ThinkPad New S2 2017系列 指纹识别，超长续航，IPS屏幕，全尺寸键盘,指纹识别，超长续航，IPS屏幕，全尺寸键盘
超极本,http://detail.zol.com.cn/ultrabook/,三星 300E5K系列 入门级显卡，全尺寸键盘，时尚轻薄，丰富接口,入门级显卡，全尺寸键盘，时尚轻薄，丰富接口
超极本,http://detail.zol.com.cn/ultrabook/,联想 IdeaPad 700S系列 红色烤漆边框，酷睿M性能处理器，纤薄机身，全尺寸键盘,红色烤漆边框，酷睿M性能处理器，纤薄机身，全尺寸键盘
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想拯救者 刃9000(i7 8700/16GB/128GB+1TB/8G独显) 酷睿i7 8700，16GB，128GB+1TB，8G独显,酷睿i7 8700，16GB，128GB+1TB，8G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕飞行堡垒S M80(M80CJ-I738AM1) 酷睿i5 7300HQ/8GB/128GB+1TB/GTX1060 3GB,酷睿i5 7300HQ/8GB/128GB+1TB/GTX1060 3GB
台式电脑,http://detail.zol.com.cn/desktop_pc/,戴尔Vostro 成就 3650系列 微塔式机(3650-D1938) 酷睿i7 6700/8GB/1TB/DVD刻录/R9 360 2GB/单主机/Win10,酷睿i7 6700/8GB/1TB/DVD刻录/R9 360 2GB/单主机/Win10
台式电脑,http://detail.zol.com.cn/desktop_pc/,惠普光影精灵II代 690-058cn 酷睿i5 8400/16GB/128GB+1TB/GTX1060 6G独显,酷睿i5 8400/16GB/128GB+1TB/GTX1060 6G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,Alienware Area-51(ALWA51D-7958S) 酷睿i9 7980XE/32GB/512GB+2TB/GTX1080Ti 11G独显,酷睿i9 7980XE/32GB/512GB+2TB/GTX1080Ti 11G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想ThinkCentre M910t(i5 7500/4GB/1TB/2G独显) 酷睿i5 7500/4GB/1TB/2G独显,酷睿i5 7500/4GB/1TB/2G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕飞行堡垒S M80(M80CJ-I7381M1) 酷睿i5 7300HQ/8GB/1TB/GTX1060 3GB,酷睿i5 7300HQ/8GB/1TB/GTX1060 3GB
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕飞行堡垒S M80(M80CJ-I738HM1) 酷睿i5 7300HQ/8GB/512GB+1TB/GTX1060 3GB,酷睿i5 7300HQ/8GB/512GB+1TB/GTX1060 3GB
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想扬天T4900D(i3 7100/4GB/500GB/集显/DVD) 酷睿i3 7100/4GB/500GB/集显/DVD,酷睿i3 7100/4GB/500GB/集显/DVD
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕飞行堡垒 G11(G11CD-I67A8M1) 六代i7处理器，8G内存，128SSD+1T硬盘，GTX960显卡,六代i7处理器，8G内存，128SSD+1T硬盘，GTX960显卡
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想启天B415(i5 7500/4GB/1TB/核显) 酷睿i5 7500/4GB/1TB/核显,酷睿i5 7500/4GB/1TB/核显
台式电脑,http://detail.zol.com.cn/desktop_pc/,三角形主机 区块链节点，日常办公娱乐的基础上，又进行锐角币ACC的挖矿,区块链节点，日常办公娱乐的基础上，又进行锐角币ACC的挖矿
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想启天M415(i5 7500/8GB/128GB+1TB/2G独显) 酷睿i5 7500/8GB/128GB+1TB/2G独显,酷睿i5 7500/8GB/128GB+1TB/2G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕BM2CF-I7A18210 酷睿i7 6700/8GB/1TB/GT720 2GB独显/DOS,酷睿i7 6700/8GB/1TB/GT720 2GB独显/DOS
台式电脑,http://detail.zol.com.cn/desktop_pc/,惠普光影精灵II代 690-053cn 酷睿i5 8400/8GB/128GB+1TB/GTX1060 3G独显,酷睿i5 8400/8GB/128GB+1TB/GTX1060 3G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想拯救者 刃7000(i5 7400/8GB/128GB/3G独显) 酷睿i5 7400/8GB/128GB/GTX1060 3G独显,酷睿i5 7400/8GB/128GB/GTX1060 3G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,Alienware Area-51(ALWA51D-4738) 酷睿i7 6800K/8GB/128GB+2TB 混合/GTX1070 8GB,酷睿i7 6800K/8GB/128GB+2TB 混合/GTX1070 8GB
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想扬天T4900D(i5 7400/4GB/1TB/1G独显/无光驱) 酷睿i5 7400/4GB/1TB/1G独显/无光驱,酷睿i5 7400/4GB/1TB/1G独显/无光驱
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想扬天M4000e(i5 6500/8GB/1TB/2G独显) 酷睿i3 6500/8GB/1TB/2G独显/win10/21.5英寸/DVD刻录机,酷睿i3 6500/8GB/1TB/2G独显/win10/21.5英寸/DVD刻录机
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕飞行堡垒 G11(G11CD-I67A8M2) 酷睿i7 6700/8GB/128GB SSD+1TB/GTX970 4GB独显/win10,酷睿i7 6700/8GB/128GB SSD+1TB/GTX970 4GB独显/win10
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想拯救者 Y720(i5 7400/8GB/128GB+1TB/4G独显) 酷睿i5 7400/8GB/128GB+1TB/GTX1050Ti 4G独显,酷睿i5 7400/8GB/128GB+1TB/GTX1050Ti 4G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,惠普光影精灵 580-056cn 酷睿i5 7400/8G/128GB+1TB/GTX1060 3G独显,酷睿i5 7400/8G/128GB+1TB/GTX1060 3G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想启天M4650(i5 6500/4GB/1TB/集显) 酷睿i5 6500/4GB/1TB/集显/Win7,酷睿i5 6500/4GB/1TB/集显/Win7
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想启天M410(i5 7500/4GB/128GB+1TB/核显) 酷睿i5 7500/4GB/128GB+1TB/核显,酷睿i5 7500/4GB/128GB+1TB/核显
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕灵睿 K20CD(K20CD-I61A4M1) 酷睿i3 6100/4GB/128GB+1TB/GT730 2GB独显/Win10,酷睿i3 6100/4GB/128GB+1TB/GT730 2GB独显/Win10
台式电脑,http://detail.zol.com.cn/desktop_pc/,戴尔全新XPS特别版8930-D1AN9S 酷睿i7 8700K/16GB/512GB+2TB/GTX1080 8GB,酷睿i7 8700K/16GB/512GB+2TB/GTX1080 8GB
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕飞行堡垒 G11(G11CD-I77A8M1) 酷睿i7 7700/8GB/128GB SSD+1TB/GTX1060 3GB独显/win10,酷睿i7 7700/8GB/128GB SSD+1TB/GTX1060 3GB独显/win10
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想拯救者 Y720(i7 7700/16GB/128GB+1TB/8G独显) 酷睿i7 7700/16GB/128GB+1TB/GTX1080 8G独显,酷睿i7 7700/16GB/128GB+1TB/GTX1080 8G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想天逸510 Pro(i5 7400/8GB/1TB/2G独显) 酷睿i5 7400/8GB/1TB/GT730 2G独显,酷睿i5 7400/8GB/1TB/GT730 2G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想扬天A8000t(i7 7700/16GB/256GB+1TB/2G独显) 酷睿i7 7700/16GB/256GB+1TB/R5 350 2G独显/23英寸显示器,酷睿i7 7700/16GB/256GB+1TB/R5 350 2G独显/23英寸显示器
台式电脑,http://detail.zol.com.cn/desktop_pc/,戴尔Inspiron 灵越 台式机(3668-D18N2) 酷睿i5 7400/8GB/128GB+1TB/2G 730,酷睿i5 7400/8GB/128GB+1TB/2G 730
台式电脑,http://detail.zol.com.cn/desktop_pc/,戴尔Inspiron 灵越台式机 Intel(3650-D1838) 酷睿i5 6400/8GB/1TB/2GB独显/Win10,酷睿i5 6400/8GB/1TB/2GB独显/Win10
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕ROG GT51CA(i7 6700K/32GB/512GB+2TB/8G独显) 酷睿i7 6700K/32GB/512GB+2TB/GTX 980 8G独显/Win10,酷睿i7 6700K/32GB/512GB+2TB/GTX 980 8G独显/Win10
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想启天M410(i5 6500/4GB/1TB/2G独显) 酷睿i5 6500/4GB/1TB/2G独显,酷睿i5 6500/4GB/1TB/2G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,戴尔Vostro 成就 3668系列 微塔式机(3668-D3428B) 酷睿i5 7400/4GB/1TB/集显,酷睿i5 7400/4GB/1TB/集显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想IdeaCentre 天逸510S(i5 7400/8GB/128GB+1TB/集显) 酷睿i5 7400/8GB/128GB+1TB/集显,酷睿i5 7400/8GB/128GB+1TB/集显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想拯救者 刃7000 II代(i7 8700/8GB/128GB+1TB/6G独显) 产品类型:家用电脑，游戏电脑 操作系统:预装Windows 10 家庭中文版 CPU频率:3.2GHz 核心/线程数:六核心/十二线程 内存容量:8GBGB 内存类型:DDR4 2666MHz 硬盘容量:128GB+1TB,产品类型:家用电脑，游戏电脑 操作系统:预装Windows 10 家庭中文版 CPU频率:3.2GHz 核心/线程数:六核心/十二线程 内存容量:8GBGB 内存类型:DDR4 2666MHz 硬盘容量:128GB+1TB
台式电脑,http://detail.zol.com.cn/desktop_pc/,戴尔OptiPlex 3046系列 小型机箱(N015O3046SFF-D1515CN) 酷睿i5 6500/4GB/500GB/集显/NeoKylin OS,酷睿i5 6500/4GB/500GB/集显/NeoKylin OS
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想ThinkCentre M910t(i7 7700/8GB/1TB/2G独显) 酷睿i7 7700/8GB/1TB/2G独显,酷睿i7 7700/8GB/1TB/2G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,华硕玩家国度 ROG GD30CI-I77GAM6 酷睿i7 7700/16GB/256GB+1TB/GTX1060 6GB独显,酷睿i7 7700/16GB/256GB+1TB/GTX1060 6GB独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,戴尔OptiPlex 7050系列 微塔式机(AO7050MT) 酷睿i5 7500/4GB/500GB/集显,酷睿i5 7500/4GB/500GB/集显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想天逸510 Pro(i7 7700/8GB/1TB/2G独显) 酷睿i7 7700/8GB/1TB/GT730 2G独显,酷睿i7 7700/8GB/1TB/GT730 2G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,戴尔OptiPlex 7050系列 微塔式机(N116o7050M-d1815CN) 酷睿i7 7700/8GB/1TB/R5 430 2G独显,酷睿i7 7700/8GB/1TB/R5 430 2G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,Alienware Area-51(ALWA51D-5978S) 酷睿i7 6950X/32GB/512GB+2TB 混合/1080Ti 11GB,酷睿i7 6950X/32GB/512GB+2TB 混合/1080Ti 11GB
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想启天M415(i7 7700/8GB/1TB/2G独显) 酷睿i7 7700/8GB/1TB/2G独显,酷睿i7 7700/8GB/1TB/2G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想拯救者 刃7000(i5 8400/8GB/128GB/3G独显) 酷睿i5 8400/8GB/128GB/GTX1060 3G独显,酷睿i5 8400/8GB/128GB/GTX1060 3G独显
台式电脑,http://detail.zol.com.cn/desktop_pc/,联想扬天T4900D(i7 7700/8GB/1TB/2G独显/DVD) 酷睿i7 7700/8GB/1TB/2G独显/DVD,酷睿i7 7700/8GB/1TB/2G独显/DVD
台式电脑,http://detail.zol.com.cn/desktop_pc/,惠普暗影精灵X(i9 7900X/32GB/512GB+3TB/11G独显) 产品类型:家用电脑 操作系统:预装Windows 10 64bit（64位简体中文版） CPU频率:3.3GHz 核心/线程数:十核心/二十线程 内存容量:32（2×16）GB 内存类型:DDR4 2133MHz 硬盘容量:512GB+3TB,产品类型:家用电脑 操作系统:预装Windows 10 64bit（64位简体中文版） CPU频率:3.3GHz 核心/线程数:十核心/二十线程 内存容量:32（2×16）GB 内存类型:DDR4 2133MHz 硬盘容量:512GB+3TB
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能5D Mark IV(单机) 双对焦系统，7张/秒来连拍，4K视频,双对焦系统，7张/秒来连拍，4K视频
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D850(单机) 全画幅高端单反，4K超高清视频，8K延时摄影,全画幅高端单反，4K超高清视频，8K延时摄影
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,索尼A7 III(单机) 防抖性能:五轴防抖 上市日期:2018年3月 产品类型:微单 传感器类型:背照式CMOS 传感器尺寸:全画幅 有效像素:2420万 光学变焦:0倍,防抖性能:五轴防抖 上市日期:2018年3月 产品类型:微单 传感器类型:背照式CMOS 传感器尺寸:全画幅 有效像素:2420万 光学变焦:0倍
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,富士X-H1 防抖性能:机身五轴防抖 上市日期:2018年3月 产品类型:微单 传感器类型:X-Trans CMOS III 传感器尺寸:APS-C画幅（23.5*15.6mm） 有效像素:2430万 光学变焦:0倍,防抖性能:机身五轴防抖 上市日期:2018年3月 产品类型:微单 传感器类型:X-Trans CMOS III 传感器尺寸:APS-C画幅（23.5*15.6mm） 有效像素:2430万 光学变焦:0倍
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,宾得K-1(单机) 全画幅，翻转屏，五轴机身防抖,全画幅，翻转屏，五轴机身防抖
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,理光GR II 轻巧型卡片机，全高清拍摄，支持NFC,轻巧型卡片机，全高清拍摄，支持NFC
